title,description,link,pubDate
Rulings on Wisconsin Election Raise Questions About Judicial Partisanship,"Some legal scholars said the decisions by the state and U.S. supreme courts could undermine confidence in the rule of law. Others said they were the product of judicial philosophy, not partisanship.",https://www.nytimes.com/2020/04/07/us/politics/wisconsin-elections-supreme-court.html,"Tue, 07 Apr 2020 20:58:42 +0000"
"With Games Paused, Sports Companies Shift to Making Medical Supplies","Formula One teams are producing CPAP machines for patients, while several sporting goods businesses are making personal protective equipment for health care workers.",https://www.nytimes.com/2020/04/07/sports/formula-one-bauer-coronavirus-ppe.html,"Tue, 07 Apr 2020 15:23:26 +0000"
"Rare World War II Footage Is Released by Bletchley Park, British Spy Center",An 11-minute silent film shows MI6 staff members at a site linked to the code-breaking facility Bletchley Park during World War II.,https://www.nytimes.com/2020/04/06/world/europe/bletchley-park-footage.html,"Mon, 06 Apr 2020 19:59:54 +0000"
How to Edit Your Own Writing,"Writing is hard, but don’t overlook the difficulty — and the importance — of editing your own work before letting others see it. Here’s how.",https://www.nytimes.com/2020/04/07/smarter-living/how-to-edit-your-own-writing.html,"Tue, 07 Apr 2020 21:30:03 +0000"
Domestic Abusers Can Control Your Devices. Here’s How to Fight Back.,"Here’s how to record abuse without being discovered, safeguard your devices, and, ultimately, protect yourself.",https://www.nytimes.com/2020/04/06/smarter-living/wirecutter/domestic-abusers-can-control-your-devices-heres-how-to-fight-back.html,"Tue, 07 Apr 2020 14:06:27 +0000"
How to Put Your Pantry in Order (and Stop Wasting Food),Step one: Start by making a mess. Here’s what to do after that.,https://www.nytimes.com/2020/04/06/realestate/virus-organize-pantry-tips.html,"Mon, 06 Apr 2020 15:23:42 +0000"
Why Talking About Our Problems Helps So Much (and How to Do It),There’s more to the age-old advice to just “talk it out” than there seems. Here’s some of the evidence that explains why it is so helpful.,https://www.nytimes.com/2020/04/03/smarter-living/talking-out-problems.html,"Fri, 03 Apr 2020 21:30:04 +0000"
Fear of Rejection Is Costing You Money,And what to do if you want to see long-term financial gains.,https://www.nytimes.com/2020/04/02/smarter-living/fear-of-rejection.html,"Thu, 02 Apr 2020 20:30:04 +0000"
"In Korea, Watching ‘Tiger King’ and Training for Baseball Alone",Foreign players in the Korean Baseball Organization who went home during the peak of South Korea’s outbreak are self-isolating as the league aims to resume exhibitions later this month.,https://www.nytimes.com/2020/04/06/sports/baseball/kbo-baseball-coronavirus.html,"Tue, 07 Apr 2020 13:51:21 +0000"
A Reader Looking for Remedies Thinks Back to Other Difficult Times,"The current crisis is hard for readers even though, for many, it has come with the unexpected gift of free time and nowhere to be.",https://www.nytimes.com/2020/04/01/books/reading-times-of-grief-coronavirus.html,"Wed, 01 Apr 2020 18:00:05 +0000"
"Idelle Weber, Who Stretched the Meaning of Pop Art, Dies at 88","One of the few women involved in the Pop Art movement, she captured the anonymity of corporate life in silhouettes. She later turned to realism.",https://www.nytimes.com/2020/04/07/arts/idelle-weber-dead.html,"Wed, 08 Apr 2020 02:54:48 +0000"
Tiny Love Stories: ‘The Dumbest Fight I’ve Ever Been In’,"Modern Love in miniature, featuring reader-submitted stories of no more than 100 words.",https://www.nytimes.com/2020/04/07/style/tiny-modern-love-stories-coronavirus-the-dumbest-fight.html,"Tue, 07 Apr 2020 19:00:09 +0000"
We Can Still Travel — With Photoshop and a Dream,"There’s little choice now but to stay grounded because of the coronavirus, but avid travelers are devising creative and meaningful ways to celebrate the vacations they have had to cancel.",https://www.nytimes.com/2020/04/07/travel/coronavirus-fake-travel.html,"Tue, 07 Apr 2020 17:57:13 +0000"
How’s the View From a Spinning Star?,"Stargazing is fun. Now try it at 43,000 miles per second.",https://www.nytimes.com/2020/04/07/science/pulsar-xkcd-munroe-stars.html,"Tue, 07 Apr 2020 16:15:31 +0000"
"To Study a Problem That’s Everywhere, They’re Getting Creative",Dimitri Deheyn’s lab has become a hub of novel research on the microfibers found in our waterways and even the air we breathe.,https://www.nytimes.com/2020/04/06/science/microfibers-plastics-ocean-biology.html,"Mon, 06 Apr 2020 16:08:12 +0000"
Where Have All the Heart Attacks Gone?,"Except for treating Covid-19, many hospitals seem to be eerily quiet.",https://www.nytimes.com/2020/04/06/well/live/coronavirus-doctors-hospitals-emergency-care-heart-attack-stroke.html,"Mon, 06 Apr 2020 19:06:42 +0000"
"Meet the Xenobots, Virtual Creatures Brought to Life",Computer scientists and biologists have teamed up to make a new class of living robotics that challenge the boundary between digital and biological.,https://www.nytimes.com/2020/04/03/science/xenobots-robots-frogs-xenopus.html,"Mon, 06 Apr 2020 18:31:33 +0000"
"How to Look Good on Camera, According to Tom Ford",A master class in lighting for your next video conference.,https://www.nytimes.com/2020/04/07/style/tom-ford-video-chat-tips.html,"Tue, 07 Apr 2020 16:44:30 +0000"
Try Tiles,Our soothing matching game may help you de-stress.,https://www.nytimes.com/puzzles/tiles,"Tue, 24 Mar 2020 00:44:17 +0000"
"The Crossword, Vertex and More","Solve the daily puzzle edited by Will Shortz, or try out other games like the Mini and Letter Boxed.",https://www.nytimes.com/crosswords,"Tue, 24 Mar 2020 00:44:17 +0000"
Try Spelling Bee,Puzzle throughout the day to see how many words you can find.,https://www.nytimes.com/puzzles/spelling-bee,"Tue, 24 Mar 2020 00:44:17 +0000"
